ensembl_gene_id,symbol,clip_fpkm_mean,rna_case,rna_control,clip_enrichment,expr_change,localization_group
ENSMUSG00000026155,SMAP1,29.482675966666665,36.3086,36.0042,-0.2796994693280164,0.011819197410140005,Cytoplasm
ENSMUSG00000026158,OGFRL1,1.1793933333333333,1.62217,1.37561,-0.12437141551070979,0.14246321041000828,Unannotated
ENSMUSG00000026159,AGFG1,16.73537333333333,21.1625,20.1837,-0.2563248965713397,0.06516603492628482,Nucleus
ENSMUSG00000026162,NHEJ1,11.088543333333334,5.58055,5.5601,0.8818506985518072,0.004490361953768917,Unannotated
ENSMUSG00000026170,CYP27A1,14.71328,11.191,11.2999,0.35333777485345025,-0.012830114484240235,Unannotated
ENSMUSG00000026171,RNF25,56.103566666666666,19.4975,17.5923,1.6188756056213665,0.1407427076275616,Nucleus
ENSMUSG00000026172,BCS1L,2.790734666666667,6.49563,7.95667,-1.240484974158142,-0.2569127121287833,Integral Membrane
ENSMUSG00000026174,RQCD1,24.288533333333334,34.3264,35.5277,-0.5305075489388897,-0.04824417964878154,Nucleus
ENSMUSG00000026176,CTDSP1,24.08713333333333,24.8381,21.957,0.12801350145889723,0.1705658613662322,Nucleus
ENSMUSG00000026179,PNKD,19.112926666666667,39.9621,43.1616,-1.1346694167653408,-0.10850276298825672,Nucleus
ENSMUSG00000026181,PPM1F,19.444343333333336,9.96049,8.89597,1.0467886927917915,0.1473992650586205,Nucleus
ENSMUSG00000026182,TNP1,0,1.30047,1.81672,-1.494016157717593,-0.2920875150705821,Nucleus
ENSMUSG00000026185,IGFBP5,2.721064,2.9919,2.76423,-0.016639577412861133,0.08472079901458542,Unannotated
ENSMUSG00000026187,XRCC5,16.0917,18.105,17.3341,-0.1012335479148075,0.05942081015718391,Nucleus
ENSMUSG00000026188,TMEM169,4.000150333333333,0.955277,0.94712,1.3606296719177495,0.006031206249610157,Integral Membrane
ENSMUSG00000026189,PECR,7.297346666666667,11.8871,9.16008,-0.29218979292668223,0.3430158869100337,Unannotated
ENSMUSG00000026192,ATIC,178.32716666666667,51.4086,48.0756,1.8695162504539324,0.09479766428907316,Unannotated
ENSMUSG00000026193,FN1,110.34023333333334,44.9834,44.2428,1.2992148885970094,0.023424924441201242,Unannotated
ENSMUSG00000026196,BARD1,8.657857666666667,5.42816,5.6888,0.5299557935755704,-0.05734156944082757,Nucleus
ENSMUSG00000026197,ZFAND2B,9.5501,8.38108,5.57017,0.6832540685162033,0.5138233229820124,Unannotated
ENSMUSG00000026198,ABCB6,163.46733333333336,9.80488,9.05129,4.032348486493864,0.10430237830944578,Integral Membrane
ENSMUSG00000026199,ANKZF1,6.2862,6.01735,6.33053,-0.008750913131656466,-0.06299118890011514,Unannotated
ENSMUSG00000026200,GLB1L,243.30679166666667,4.11169,4.24715,5.541016127675367,-0.037733686560403504,Unannotated
ENSMUSG00000026201,STK16,69.92946666666667,10.322,10.2536,2.6559985097058716,0.008742238766986892,Cytoplasm
ENSMUSG00000026202,TUBA4A,11.649346666666666,6.07351,7.68304,0.5427907372592619,-0.2957739465403118,Cytoplasm
ENSMUSG00000026203,DNAJB2,4.432026666666666,2.90627,3.66326,0.22015169265181664,-0.25554719812153853,Nucleus
ENSMUSG00000026207,SPEG,2.069713333333333,0.81569,0.930087,0.669438055679542,-0.08814797285926694,Nucleus
ENSMUSG00000026208,DES,1.68056,6.70376,5.91826,-1.3678748058107635,0.1551535250427782,Nucleus
ENSMUSG00000026209,DNPEP,142.46703333333332,17.7196,20.2423,2.7557073775178256,-0.18239037394863344,Unannotated
ENSMUSG00000026211,OBSL1,29.850166666666667,40.0006,35.3777,-0.2377760471968148,0.17259069149761602,Cytoplasm
ENSMUSG00000026213,STK11IP,46.72063333333333,15.6983,15.0615,1.5710065562375248,0.056094600131595826,Cytoplasm
ENSMUSG00000026219,TRIP12,1434.97,80.8754,82.2406,4.10859443466531,-0.023857314285652156,Unannotated
ENSMUSG00000026220,SLC16A14,0,0.507744,0.623428,-0.6990434016573562,-0.10665190758856133,Integral Membrane
ENSMUSG00000026223,ITM2C,45.702933333333334,143.404,145.788,-1.6521489607238857,-0.02362332636291713,Integral Membrane
ENSMUSG00000026229,PSMD1,154.28593333333333,76.1807,73.5116,1.059390200677381,0.05077508615747055,Nucleus
ENSMUSG00000026234,NCL,616.9493333333334,109.316,109.134,2.4882286350451532,0.002382132520724617,Nucleus
ENSMUSG00000026238,PTMA,111.0077,733.031,751.651,-2.7483831362822166,-0.03614005739604543,Nucleus
ENSMUSG00000026239,PDE6D,52.781200000000005,28.323,32.1489,0.6981409485801721,-0.17692828593527263,Cytoplasm
ENSMUSG00000026240,COPS7B,19.569309999999998,14.2512,13.3896,0.5154669104848485,0.08389627294397992,Cytoplasm
ENSMUSG00000026241,NPPC,0,0.601081,0.718159,-0.7808635509683804,-0.10181725414339023,Unannotated
ENSMUSG00000026245,FARSB,26.402133333333328,32.8665,38.0451,-0.51085329197868945,-0.20528261103144882,Unannotated
ENSMUSG00000026248,MRPL44,61.0414,26.8386,26.1038,1.1947361078687062,0.03859152592393029,Nucleus
ENSMUSG00000026249,SERPINE2,26.902833333333334,66.279,50.6957,-0.8896326586411641,0.38011197877913677,Unannotated
ENSMUSG00000026254,EIF4E2,92.30146666666667,17.6695,15.8515,2.4690227444038912,0.1478062748123788,Cytoplasm
ENSMUSG00000026255,EFHD1,6.244070000000001,82.5414,74.4796,-3.381214385135275,0.14640454313967974,Unannotated
ENSMUSG00000026259,NGEF,0,1.47609,1.16091,-1.111638986469722,0.19642476757919114,Unannotated
ENSMUSG00000026260,NDUFA10,267.18603333333334,63.4467,68.7262,1.943461342514171,-0.11359437137115702,Cytoplasm
ENSMUSG00000026269,RNPEPL1,0.7098266666666667,17.5495,17.1417,-3.407387667766818,0.03207064717856876,Unannotated
ENSMUSG00000026270,CAPN10,86.4026,12.6182,13.0483,2.6372806378700475,-0.044859532711873464,Nucleus
ENSMUSG00000026274,PASK,255.25296666666668,13.814,15.0088,4.0006316325719204,-0.11190392694298952,Nucleus
ENSMUSG00000026275,PPP1R7,57.4975,15.7257,15.7112,1.8075596353944106,0.0012512571084161734,Nucleus
ENSMUSG00000026277,STK25,213.4126666666667,40.9875,47.2672,2.1512750941332466,-0.20108324742114486,Cytoplasm
ENSMUSG00000026278,BOK,50.43593333333333,47.0989,41.8648,0.26298317168721563,0.16621048855123555,Integral Membrane
ENSMUSG00000026279,THAP4,62.07936666666666,24.9724,25.5083,1.2507240232635055,-0.029464818358874892,Unannotated
ENSMUSG00000026280,ATG4B,76.57896666666666,23.5265,24.9683,1.578913987746727,-0.08241019992170584,Unannotated
ENSMUSG00000026281,DTYMK,41.845166666666664,23.4966,25.1194,0.7140107076016515,-0.09254023190109516,Nucleus
ENSMUSG00000026283,ING5,14.778253333333334,7.36534,6.61531,1.050962835082369,0.13552141182852656,Nucleus
ENSMUSG00000026288,INPP5D,3.811173333333334,0.705027,0.54921,1.634856057722768,0.13826186630044127,Unannotated
ENSMUSG00000026289,ATG16L1,40.490966666666665,17.3165,16.7546,1.2246044121514637,0.04495099533942419,Unannotated
ENSMUSG00000026305,LRRFIP1,14.546456666666666,7.89504,6.646,1.0238086948816596,0.218295892972699,Nucleus
ENSMUSG00000026307,SCLY,0,0.930139,1.23284,-1.158879874771335,-0.21017512707605884,Unannotated
ENSMUSG00000026308,KLHL30,0,1.33719,1.00159,-1.0011464868893283,0.2236285347434365,Unannotated
