GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0004602,21,-1.8772982770675493,-0.01457583900402153,2.5128741538056938e-6,0.15259334225865923,glutathione peroxidase activity,MF,6.129618025176031e-5,0.5108884939346287,6.129618025176031e-5,4.212566588242919
GO:0016616,46,-1.0951125393562111,0.019509930603002334,3.4980782025343583e-6,0.9069151421314904,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF,8.238577283899886e-5,0.97375601045259,8.238577283899886e-5,4.084147779941117
GO:0003700,394,0.3211116920545812,0.0576418764851372,0.61334672045329,2.3956087260596096e-6,DNA-binding transcription factor activity,MF,0.7739200419464853,2.1174131982455192e-4,2.1174131982455192e-4,3.674194384206545
GO:0005125,63,-0.6460483065067341,0.10038327264335993,1.3417002525747353e-5,0.015269202728467777,cytokine activity,MF,2.8636914765892005e-4,0.13036081829429363,2.8636914765892005e-4,3.5430737731073316
GO:0005509,381,-0.1476320064598018,0.05559457909198267,1.3964333700105568e-5,4.5254655800297114e-5,calcium ion binding,MF,2.8901939142945765e-4,0.002207780707971638,2.8901939142945765e-4,3.5390730177684184
GO:0003697,102,0.9238996462905019,-0.002502297368180383,2.1158413000733483e-5,0.33445386514847125,single-stranded DNA binding,MF,4.2503517880885204e-4,0.7072197829610088,4.2503517880885204e-4,3.3715751232901763
GO:0004364,26,-1.5422072535526092,-0.030561023485709972,2.24726979062362e-5,0.037019478375781,glutathione transferase activity,MF,4.385386477131236e-4,0.22797010944654472,4.385386477131236e-4,3.357992126929797
GO:0008307,13,-0.5787159377331065,0.22803895985785977,0.12691112829523238,5.81964762986931e-6,structural constituent of muscle,MF,0.3106417390213038,4.416465923556376e-4,4.416465923556376e-4,3.354925116131303
GO:0003724,71,1.085767099039655,-0.016180324286718683,2.625089753949887e-5,0.01847479333888528,RNA helicase activity,MF,4.980378616521591e-4,0.1467242308192866,4.980378616521591e-4,3.302737640209004
GO:0019003,68,-0.5239711924535394,0.03288624650589975,2.8606689602994154e-5,0.8271044094580061,GDP binding,MF,5.174946540888892e-4,0.9510308277101317,5.174946540888892e-4,3.286094132270442
GO:1990948,13,3.1917156356934266,-0.04489692869525651,2.879179627434523e-5,0.08045088679553047,ubiquitin ligase inhibitor activity,MF,5.174946540888892e-4,0.37522783397539194,5.174946540888892e-4,3.286094132270442
GO:0004303,11,-2.224839513902067,0.1591803303609335,3.373380425526986e-5,0.029136372910900005,estradiol 17-beta-dehydrogenase [NAD(P)+] activity,MF,5.90774059137162e-4,0.19509943821710493,5.90774059137162e-4,3.2285785827929367
GO:0003678,36,1.4550370800574404,-0.026637674479131897,3.678955046519359e-5,0.1095874750119593,DNA helicase activity,MF,6.281815741931805e-4,0.4351642176346988,6.281815741931805e-4,3.2019148064659855
GO:0001786,43,-0.9246536226772178,0.05380049396693066,3.951957062303808e-5,0.1461485981027457,phosphatidylserine binding,MF,6.583382130618295e-4,0.5041388510311884,6.583382130618295e-4,3.1815509356716567
GO:0001227,199,0.24606772687645434,0.06953832915343489,0.7368356842973796,1.0972478079775127e-5,"DNA-binding transcription repressor activity, RNA polymerase II-specific",MF,0.8573403277259117,7.494202528486411e-4,7.494202528486411e-4,3.125274574410681
GO:0038023,103,-0.25037661512922676,0.08751971779768838,0.0016699562017683973,1.2584116382857172e-5,signaling receptor activity,MF,0.01443772260516222,7.813592263174044e-4,7.813592263174044e-4,3.1071492553167284
GO:0001758,10,-2.4024447364713732,0.06094346871728218,6.317758755259685e-5,0.13434267215089224,retinal dehydrogenase (NAD+) activity,MF,0.0010273879118672298,0.4803981417751801,0.0010273879118672298,2.988265548442558
GO:0017046,16,-1.338242426981329,0.12431392920303647,6.592195398864522e-5,0.06821232538918905,peptide hormone binding,MF,0.0010470859203312718,0.34767924060310534,0.0010470859203312718,2.980017680121776
GO:0005102,246,-0.13356010090784767,0.05524736855449587,7.02378144137389e-5,0.0035676111811196215,signaling receptor binding,MF,0.001066053938768526,0.04597506484348494,0.001066053938768526,2.972220820903349
GO:0005179,34,-0.9885044448446552,0.11736605813569015,6.876678391145554e-5,0.0025391787763807783,hormone activity,MF,0.001066053938768526,0.04129188343495409,0.001066053938768526,2.972220820903349
GO:0005539,21,-1.2652840092604922,0.06764638349014557,1.066775793143352e-4,0.08967617814007209,glycosaminoglycan binding,MF,0.0015839301450367596,0.3933323089896822,0.0015839301450367596,2.8002639757099335
GO:0048027,25,1.9369738271689472,0.06673437510859469,1.289895368304361e-4,0.34916219849804914,mRNA 5'-UTR binding,MF,0.0018744649713869756,0.7272109798556957,0.0018744649713869756,2.727122670940209
GO:0016874,112,0.8848408066985132,8.253241523328826e-4,1.3658810032035848e-4,0.09351063698765144,ligase activity,MF,0.0019435348441417674,0.4000126498594694,0.0019435348441417674,2.7114076688310966
GO:0003925,75,-0.4126884505532163,0.039646712981469184,1.4847381694588013e-4,0.40203823395042776,G protein activity,MF,0.0020695432035517576,0.7658112538273587,0.0020695432035517576,2.684125502885701
GO:0045499,22,-0.2736018918743611,0.15987497283520635,0.17764523483305114,3.723214931192495e-5,chemorepellent activity,MF,0.3790855704402363,0.002119129831670395,0.002119129831670395,2.673842434770691
GO:0051015,172,0.4904053495380081,0.08153414680552062,0.12345068978696536,4.108694144940991e-5,actin filament binding,MF,0.3054957287119469,0.002158644693072844,0.002158644693072844,2.665818835450146
GO:0042054,33,1.4188643089998438,0.012260069521605693,1.779721269625239e-4,0.9010626874393768,histone methyltransferase activity,MF,0.0024310992543080763,0.97375601045259,0.0024310992543080763,2.6141973098862588
GO:0002039,65,0.987761478304404,0.009048408911154963,2.105716814733086e-4,0.431028511028994,p53 binding,MF,0.002820008989142545,0.7681362933391347,0.002820008989142545,2.5497495073087304
GO:0004843,79,1.0440094784083542,-0.004285702237750309,2.277865272680027e-4,0.06939317667084209,cysteine-type deubiquitinase activity,MF,0.0029918884254624203,0.3484966151925379,0.0029918884254624203,2.5240546063655653
GO:0030021,10,-2.244019885364506,0.09936605734571695,2.733653182030423e-4,0.3057246329488455,extracellular matrix structural constituent conferring compression resistance,MF,0.0035228021194844885,0.6914235904107996,0.0035228021194844885,2.4531117510366274
GO:0020037,65,-0.48347781001071116,0.03176008995664065,2.9297911751102366e-4,0.47422996485974006,heme binding,MF,0.0037056432825931327,0.7938702598019668,0.0037056432825931327,2.4311363896198563
GO:0003688,14,1.7146413457207061,0.002259486178790023,3.2733883894167876e-4,0.5150416983602477,DNA replication origin binding,MF,0.004064953218130302,0.8316157919150099,0.004064953218130302,2.390944448157188
GO:0004252,73,-0.4566512539995298,-0.02343765479555083,3.45300739299943e-4,0.08075913849836401,serine-type endopeptidase activity,MF,0.004183083063000472,0.37522783397539194,0.004183083063000472,2.3785035115980464
GO:0017116,21,1.3975187275015464,-0.030029764913802496,3.4910063629725753e-4,0.0931169806713755,single-stranded DNA helicase activity,MF,0.004183083063000472,0.4000126498594694,0.004183083063000472,2.3785035115980464
GO:0051019,28,1.3338774756036058,0.0783314963804488,3.6724392940755955e-4,0.09598194401747354,mitogen-activated protein kinase binding,MF,0.004324613858368331,0.4063189299713143,0.004324613858368331,2.364052664307031
GO:0001222,54,1.0612735784495038,0.029624033512153838,3.9317585379765546e-4,0.5317763258604097,transcription corepressor binding,MF,0.004551510307522011,0.8375511988378156,0.004551510307522011,2.3418444694120026
GO:0048407,11,-0.9046853351235957,0.23338683177846928,0.03534193084366987,1.0320644824833464e-4,platelet-derived growth factor binding,MF,0.13793450723558012,0.004699333610240837,0.004699333610240837,2.3279637228970707
GO:0030246,111,-0.35041029702989307,0.03872629294074471,4.1360350788928e-4,0.21755837279904874,carbohydrate binding,MF,0.004708186598139637,0.5960979523738901,0.004708186598139637,2.327146333225275
GO:0043021,44,1.1955148576488346,-0.022937368323070986,5.326065852920442e-4,0.03701990315640485,ribonucleoprotein complex binding,MF,0.005963447504171577,0.22797010944654472,0.005963447504171577,2.224502599458539
GO:0052650,10,-1.7348360043235294,-0.03663804547642463,5.804023145118795e-4,0.4068144176214889,all-trans-retinol dehydrogenase (NADP+) activity,MF,0.0063937867872840915,0.7661965516318011,0.0063937867872840915,2.1942418501803593
GO:0008106,13,-1.5378964626214655,0.13769520474578345,5.997148123603717e-4,0.01377045985104342,alcohol dehydrogenase (NADP+) activity,MF,0.006501670108605299,0.12214576725016438,0.006501670108605299,2.1869750701593333
