GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0030148,23,0.8222827414399877,0.4484396902439534,4.0220632585571923e-7,3.656230931410037e-7,sphingolipid biosynthetic process,BP,6.765684981358706e-5,1.53635010040134e-5,1.53635010040134e-5,4.81350980686502
GO:0016477,221,-0.11070944599539988,-0.09085996719011587,7.510168778213986e-8,0.014725748290400248,cell migration,BP,1.5930547277716978e-5,0.07347274835570464,1.5930547277716978e-5,4.797769304198248
GO:0000723,63,-0.8869385817377458,-0.5415782730585813,0.012215596776862382,3.9997094412175795e-7,telomere maintenance,BP,0.10499171682303253,1.5964941922148136e-5,1.5964941922148136e-5,4.796832657014074
GO:0007160,58,0.1356915868749799,0.19192745858035046,5.675765383330682e-6,4.3279766796205453e-7,cell-matrix adhesion,BP,4.950528695460651e-4,1.698730846751064e-5,1.698730846751064e-5,4.769875426917119
GO:0006829,22,0.43788515419772694,0.4200270394597448,3.6340085427201765e-4,5.050632230329487e-7,zinc ion transport,BP,0.00864453547283436,1.949875229905892e-5,1.949875229905892e-5,4.709993177712876
GO:0007042,16,0.5156936869270088,0.5769194916013717,6.345562552191095e-4,5.186207724070655e-7,lysosomal lumen acidification,BP,0.012882586043456922,1.9699224500300632e-5,1.9699224500300632e-5,4.70555087038
GO:0042752,56,-0.7171279932738938,-0.5696972563980001,0.1515043914006066,6.424391349529714e-7,regulation of circadian rhythm,BP,0.41343318858450584,2.363975254397262e-5,2.363975254397262e-5,4.6263570738715645
GO:0046718,38,0.10146934147883285,0.26758996457793316,0.002073584625769146,6.881106175165207e-7,symbiont entry into host cell,BP,0.030143776504236656,2.4930776988483173e-5,2.4930776988483173e-5,4.603264186135121
GO:0030335,201,-0.12330823023007538,0.01078881838980438,1.5381708485165917e-7,4.579580165160013e-6,positive regulation of cell migration,BP,2.7864556525050568e-5,1.3764506829257558e-4,2.7864556525050568e-5,4.554947864513614
GO:0010971,28,-0.5220204281163288,-0.7039783054338746,0.9898997478786339,8.905494343969353e-7,positive regulation of G2/M transition of mitotic cell cycle,BP,0.9956764294945769,3.177642300007246e-5,3.177642300007246e-5,4.497894991922925
GO:0006417,146,-0.6462690479776482,-0.4052996063672391,0.42196707810019135,1.3868162995687254e-6,regulation of translation,BP,0.7133757853021899,4.874555799230371e-5,4.874555799230371e-5,4.3120649538593145
GO:0016567,454,-0.6645457526447182,-0.31075388033328827,0.04835097366152559,1.4713115238794082e-6,protein ubiquitination,BP,0.22592568050177134,5.0954979981411856e-5,5.0954979981411856e-5,4.292813364694722
GO:0071805,70,-0.1630703125492529,0.16084599983350042,0.018983905454546333,1.5689346451529595e-6,potassium ion transmembrane transport,BP,0.13588783387676784,5.35484215845684e-5,5.35484215845684e-5,4.271253326087307
GO:0006821,32,-0.008041460736798478,0.305493550881849,0.01649460526282171,1.8108076976975506e-6,chloride transport,BP,0.125711311954515,6.0920744686824744e-5,6.0920744686824744e-5,4.215234796547386
GO:1902600,105,-0.7409968260375793,0.08427015034807346,0.4021035333717777,2.688311796914624e-6,proton transmembrane transport,BP,0.6938261637336857,8.91686518554076e-5,8.91686518554076e-5,4.049787799425013
GO:0070588,80,0.028839786971568564,0.1329736477678195,2.813048920126158e-5,2.833996692773273e-6,calcium ion transmembrane transport,BP,0.0015406349318365354,9.269530849279247e-5,9.269530849279247e-5,4.032942245869011
GO:0071577,19,0.5420364550236043,0.415854580319547,2.9908859411240487e-4,3.221404563313272e-6,zinc ion transmembrane transport,BP,0.007740149880601247,1.0251902360273993e-4,1.0251902360273993e-4,3.9891955387144957
