GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0045182,18,-0.7477996734843256,-0.5948713798507306,0.7130712276639324,0.001297248871573675,translation regulator activity,ALL,0.8717896487209076,0.008117460977465395,0.008117460977465395,2.090579790452153
GO:0051225,36,-0.7799222817503304,-0.47283131259720557,0.25332704917015453,0.0013077100360532295,spindle assembly,ALL,0.5280849163856255,0.008168615312619212,0.008168615312619212,2.087851555836634
GO:0009887,81,-0.10885591137039201,0.01354988700964676,4.690597738764322e-4,0.002736414330544051,animal organ morphogenesis,ALL,0.008175368644197524,0.015134997527916244,0.008175368644197524,2.087492654994148
GO:0009101,12,0.1476977352992243,0.32846388679078753,0.102791328968153,0.0013236634280606385,glycoprotein biosynthetic process,ALL,0.31881373125278706,0.008242717907273179,0.008242717907273179,2.083929562877514
GO:0006002,12,-1.1297143920865593,-0.7526234201751478,0.09064678533659079,0.0013250883057276902,fructose 6-phosphate metabolic process,ALL,0.29633318392995517,0.008242717907273179,0.008242717907273179,2.083929562877514
GO:0005790,28,0.1852287190100498,0.14093063803952455,0.0018178978986289544,0.0013820250803265749,smooth endoplasmic reticulum,ALL,0.02263187871707754,0.008572874326400784,0.008572874326400784,2.066873542743662
GO:0042755,16,-0.2445875478510783,0.2645301640409878,0.5384138771990911,0.001428226529003546,eating behavior,ALL,0.7695011132929409,0.008824159906305978,0.008824159906305978,2.0543266304639367
GO:0098656,21,-0.006798957009996291,0.2701232785677351,0.03832314056670381,0.0014272454544966156,monoatomic anion transmembrane transport,ALL,0.17948262931196785,0.008824159906305978,0.008824159906305978,2.0543266304639367
GO:0007628,34,-0.12771950841958776,0.13537780334201222,0.0553072160876056,0.0014299436288136473,adult walking behavior,ALL,0.22792697010497673,0.008824159906305978,0.008824159906305978,2.0543266304639367
GO:0006511,221,-0.5569500511308453,-0.30430899895127544,0.8541437531328867,0.0014349863072846611,ubiquitin-dependent protein catabolic process,ALL,0.9387744053291964,0.008840010475738094,0.008840010475738094,2.053547220331661
GO:0034702,59,-0.2526563480928853,0.08371229962665358,0.07519661342026794,0.0014596321458591776,monoatomic ion channel complex,ALL,0.270027637940319,0.008976360855688195,0.008976360855688195,2.0468996968093904
GO:0045087,272,-0.6691379836596193,-0.28451197732873373,0.0674287827277497,0.0014639964631255231,innate immune response,ALL,0.2544347295238979,0.00898773086382731,0.00898773086382731,2.0463499409374553
GO:0030326,35,0.12252372159072943,-0.03483254707666364,5.271215937915605e-4,0.16862954719612436,embryonic limb morphogenesis,ALL,0.00909857707544563,0.3220274570452979,0.00909857707544563,2.041026521591167
GO:0031647,96,-0.407547940733669,-0.35538980053292657,0.33343926482205266,0.0014913848667931966,regulation of protein stability,ALL,0.6062994876382667,0.00912451734426728,0.00912451734426728,2.039790098955349
GO:0035267,24,-0.9051705033410179,-0.5508503708484176,0.08366066578057084,0.0014890939145399094,NuA4 histone acetyltransferase complex,ALL,0.28604742472151157,0.00912451734426728,0.00912451734426728,2.039790098955349
GO:0030838,45,-0.7638677859173849,-0.4639081830486048,0.2786229937157557,0.0015255644366574592,positive regulation of actin filament polymerization,ALL,0.5589668481450843,0.009317678174661712,0.009317678174661712,2.030692293821501
GO:0000070,32,-0.4208636186529875,-0.49270908417972165,0.5813085347162057,0.0015516048916576423,mitotic sister chromatid segregation,ALL,0.7983616120136643,0.00946055337524361,0.00946055337524361,2.0240834597096398
GO:0043231,80,-0.07611655355102619,-0.0031833990519418444,5.579195401452925e-4,0.0036797640884741133,intracellular membrane-bounded organelle,ALL,0.009538021612148947,0.01908243409015676,0.009538021612148947,2.020541697835639
GO:0140115,10,0.5651538245666293,0.3515093344914237,0.004664731794538762,0.0015762900620176067,export across plasma membrane,ALL,0.04504618027537026,0.009594692319572247,0.009594692319572247,2.017968947562637
GO:0061014,16,-0.6983576057835242,-0.7081696553569781,0.5844800497746162,0.0015964973625043042,positive regulation of mRNA catabolic process,ALL,0.7986031425792366,0.009701165095625646,0.009701165095625646,2.013176104474447
GO:0042470,86,-0.13997269339750132,0.021668754460673883,7.079832211140171e-4,0.0016039913908107754,melanosome,ALL,0.011242773551290592,0.00973015490554652,0.00973015490554652,2.0118802456423825
GO:0071786,14,0.5315202703072492,0.22319099688376096,5.730000516522785e-4,0.007146740473937109,endoplasmic reticulum tubular network organization,ALL,0.00974918659311234,0.032079527278112176,0.00974918659311234,2.011031617415226
GO:0008092,73,-0.4674957165055851,-0.4024006805476174,0.5748536166205307,0.001614896088883995,cytoskeletal protein binding,ALL,0.7930445638543989,0.009779701229800871,0.009779701229800871,2.009674412720662
GO:0061036,10,0.7657210117140274,0.12362348054956651,5.948287561524987e-4,0.25295544816405263,positive regulation of cartilage development,ALL,0.009907653781153714,0.42794025392526513,0.009907653781153714,2.004029178061331
GO:0070064,19,-0.7913993243834707,-0.5823603372758502,0.336088619654354,0.0017077492515520966,proline-rich region binding,ALL,0.6093737561504644,0.010324514510652524,0.010324514510652524,1.9861303610083014
GO:0046488,32,-0.7469378465055877,-0.4843251054618334,0.31382393805947806,0.0017190418480798678,phosphatidylinositol metabolic process,ALL,0.5916187247648912,0.010375230613495552,0.010375230613495552,1.984002241309317
GO:0055075,13,-0.1543514136945023,0.2960007603299944,0.5067966941413449,0.001770285275080786,potassium ion homeostasis,ALL,0.7493007053240712,0.010648534154652608,0.010648534154652608,1.9727101717896096
GO:0042953,12,0.2138520721181061,0.36121849698372593,0.035995880579370754,0.001783224018758859,lipoprotein transport,ALL,0.17403691652245154,0.010708335158025887,0.010708335158025887,1.97027804437684
GO:0043226,37,-0.22671222770387262,-0.4779831443723023,0.13031524843016504,0.0018005654555457485,organelle,ALL,0.3704187610508987,0.01079432948433718,0.01079432948433718,1.966804329735173
GO:0012505,227,-0.2385136002676649,-0.07241954870521516,6.736452200388669e-4,0.00367599727845852,endomembrane system,ALL,0.01088086969156592,0.01908243409015676,0.01088086969156592,1.9633363907450954
GO:0005923,99,-0.120340801208035,-0.12720717734709724,6.765220900957193e-4,0.42387721664577577,bicellular tight junction,ALL,0.01088086969156592,0.6021921650399034,0.01088086969156592,1.9633363907450954
GO:0008284,324,-0.32023108128803096,-0.13950883732937636,6.791026983541002e-4,0.2313368275245911,positive regulation of cell population proliferation,ALL,0.01088086969156592,0.4020265003625311,0.01088086969156592,1.9633363907450954
GO:0060037,11,0.4540966279968412,0.3839065875634181,0.00574523955502485,0.0018264598019877589,pharyngeal system development,ALL,0.052073252675959525,0.010912944602846593,0.010912944602846593,1.9620580493913395
GO:0010212,43,-0.7781390868418054,-0.43831733662779204,0.1634087079425372,0.0018310165083975176,response to ionizing radiation,ALL,0.41179039872113865,0.010921906484982187,0.010921906484982187,1.961701546279699
GO:0035145,21,-0.4159160255663338,-0.574710016272508,0.5884316425035121,0.0018447851363284987,exon-exon junction complex,ALL,0.801550232049199,0.01098569548683621,0.01098569548683621,1.9591724433830728
GO:0035640,20,-0.10263159206845615,0.25414278488602937,0.06642813103412427,0.00187329390857356,exploration behavior,ALL,0.253458080031191,0.011136903719356621,0.011136903719356621,1.9532355348810382
GO:0042307,42,-0.3226242468235203,-0.4298109252208069,0.24175865125890483,0.0018827681420205853,positive regulation of protein import into nucleus,ALL,0.5132523237956429,0.01117463550073015,0.01117463550073015,1.9517666339770796
GO:0005776,75,-1.017708327140937,-0.39970297618801814,7.993347964938367e-4,0.001925168696035466,autophagosome,ALL,0.012153290331372248,0.011407342870538507,0.011407342870538507,1.942815504666023
