GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0033116,41,0.14584176556243697,0.2441808360785576,2.092878058051091e-4,9.271919124826022e-7,endoplasmic reticulum-Golgi intermediate compartment membrane,CC,0.0026018279494407883,8.744378898758334e-6,8.744378898758334e-6,5.0582710324313185
GO:0036064,289,-0.5551679792293177,-0.331114653164848,0.7985813635305515,1.0100014507101071e-6,ciliary basal body,CC,0.9006680533014674,9.36391175488862e-6,9.36391175488862e-6,5.028542687729098
GO:0005796,21,0.17243223562092977,0.4139126539249343,0.004591834234409791,1.2051226181752939e-6,Golgi lumen,CC,0.029206201467699488,1.0986701202364764e-5,1.0986701202364764e-5,4.95913268652715
GO:0071565,15,-0.9279894573376058,-0.9031978320262127,0.13683496126447459,1.2539414663473922e-6,nBAF complex,CC,0.3353081895279499,1.1244360362164321e-5,1.1244360362164321e-5,4.949065244459866
GO:0098839,86,-0.193900811399492,0.15244994457988648,0.006975377924003259,1.605084249754041e-6,postsynaptic density membrane,CC,0.041585505739945315,1.4160985235733233e-5,1.4160985235733233e-5,4.848906530010852
GO:0005814,143,-0.7191767888043715,-0.3957128074489946,0.026539078832379083,2.2737679383309384e-6,centriole,CC,0.10477361870616428,1.9742080353444813e-5,1.9742080353444813e-5,4.704607084775973
GO:0000932,88,-0.6270643394448224,-0.45778217363105916,0.33067439663218795,2.9309449861895627e-6,P-body,CC,0.5514600456030696,2.5050420428838918e-5,2.5050420428838918e-5,4.6011849808389496
GO:0098552,57,0.17786943606457598,0.19661362756313125,1.1935037502890643e-5,3.9537069393225025e-6,side of membrane,CC,2.1059566174455425e-4,3.327196455091399e-5,3.327196455091399e-5,4.4779215553550324
GO:0042734,106,0.01173009728422953,0.07458167182404728,2.1860540072461273e-6,4.37478986054576e-6,presynaptic membrane,CC,4.5991213152447374e-5,3.62577280866444e-5,3.62577280866444e-5,4.4405994123294725
GO:0002102,42,-0.5323896383333111,-0.5909829317549048,0.9378794713066845,4.522582316408912e-6,podosome,CC,0.9847974551920264,3.69231720459056e-5,3.69231720459056e-5,4.432700996084452
GO:0000793,37,-0.6757457422870641,-0.6038757271536055,0.3293074087982144,5.813817586757029e-6,condensed chromosome,CC,0.5514600456030696,4.676703264641316e-5,4.676703264641316e-5,4.330060185066303
GO:0036464,74,-0.6633391236300027,-0.4631846209551201,0.45044727309110205,5.966727912212037e-6,cytoplasmic ribonucleoprotein granule,CC,0.6570524223488875,4.7301451709854844e-5,4.7301451709854844e-5,4.3251255303001495
