GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0004867,35,0.3640559225146508,0.30752202457810285,2.1736056188366195e-5,5.198391807642658e-7,serine-type endopeptidase inhibitor activity,MF,6.62949713745169e-4,5.5366998459178144e-6,5.5366998459178144e-6,5.256749019705502
GO:0000030,13,0.5371649638952204,0.6955176628807501,0.0014202952523711006,1.0034273302503419e-6,mannosyltransferase activity,MF,0.016281674352506083,1.0520308415593427e-5,1.0520308415593427e-5,4.977971528126482
GO:0008017,225,-0.4723867350614733,-0.3767620313303525,0.2319378419800505,1.1386626931232087e-6,microtubule binding,MF,0.48482956999568183,1.1754502570548816e-5,1.1754502570548816e-5,4.929795744713158
GO:0005200,56,-0.9109039770238964,-0.5433014579288279,0.03134359611024175,1.168750750412206e-6,structural constituent of cytoskeleton,MF,0.14810952809839587,1.1882299295857428e-5,1.1882299295857428e-5,4.9250995126475745
GO:0003678,36,-0.8636959163783897,-0.6522416144290375,0.06121182020852076,1.2824633248968492e-6,DNA helicase activity,MF,0.22322353999955127,1.284377449262367e-5,1.284377449262367e-5,4.891307328258831
GO:0000976,207,-0.6688081665514964,-0.37062915085220427,0.19986305041416863,1.310760431793591e-6,transcription cis-regulatory region binding,MF,0.4529609175612385,1.286758726583844e-5,1.286758726583844e-5,4.890502877754803
GO:0048018,56,-0.035930522076457035,0.19893862673059276,3.905876101986462e-4,1.3231945176495565e-6,receptor ligand activity,MF,0.006094983405657944,1.286758726583844e-5,1.286758726583844e-5,4.890502877754803
GO:0030527,33,1.3968194091621857,-0.08883160593174921,1.9661501039850327e-7,0.48383201744648663,structural constituent of chromatin,MF,1.3192867197739569e-5,0.5849572679398064,1.3192867197739569e-5,4.879660809242349
GO:0046873,16,0.33770645514821696,0.5006521888492045,0.01205488772351509,1.6132640357876982e-6,metal ion transmembrane transporter activity,MF,0.07703647297598691,1.546428811447922e-5,1.546428811447922e-5,4.810670067582526
GO:0050840,18,0.5884795822072474,0.44902625432676396,2.112537474003472e-5,1.9353311402918323e-6,extracellular matrix binding,MF,6.62949713745169e-4,1.8161327931026536e-5,1.8161327931026536e-5,4.740852399645747
