entrez,rna_control,rna_case,rna_control_cpm,clip_cpm,clip_enrichment,expr_change,symbol
54454,6.83840084904154,6.50249386102721,41.15677021461985,0,-5.397692435917497,-0.06318911967572052,ATAD2B
54455,6.95644515750651,6.87182490830692,41.867217377031714,0,-5.421802865980917,-0.015425864793884065,FBXO42
54458,10.0472806577192,8.79370200980252,60.46934516415504,179.7587287111957,1.5561262944157,-0.17376508150840808,PRR13
54460,19.5378530902629,30.9577118532067,117.58815370345745,0,-6.889816089651272,0.6378787376972361,MRPS21
54461,9.49453768439911,14.3511221827888,57.14267332334459,0,-5.861525501099481,0.5487055089166142,FBXW5
54462,2.45580844687482,4.93224358728674,14.780230959013712,0,-3.9800464156370445,0.7795545862376255,CCSER2
54464,4.06184312148082,2.51791245477085,24.44611652475022,0,-4.669373590167112,-0.5249432146222947,XRN1
54465,4.61918444092701,8.09822921737807,27.800463414019646,135.91513634261136,2.249118018633698,0.6952250265216741,ETAA1
54467,12.9929222792765,13.6313475972484,78.1976266775217,47.13186179622814,-0.7184649680799673,0.06436536662174154,ANKIB1
54468,6.51031208142581,9.13224324161421,39.18217493761865,109.60898092146078,1.4608409703364094,0.43200885346273155,MIOS
54469,17.7337222454662,18.19926451918,106.73003054637273,46.035771987013526,-1.1955901796497053,0.03541346519986358,ZFAND6
5447,16.3916734499339,17.7294977472879,98.65293838493973,0,-6.638840440151207,0.10691545523903155,POR
54470,3.71680933402054,3.70813705035435,22.369538005845023,0,-4.546557308543211,-0.002654967712097525,ARMCX6
54471,10.6676696868761,15.7684276889623,64.2031433547452,15.34525732900451,-1.9960694263681817,0.5232309702153283,MIEF1
54472,3.80136943925566,3.92238358725261,22.878461202556093,0,-4.577637963023923,0.035911139467066776,TOLLIP
54475,9.02979623087907,11.4297953790545,54.3456367596846,0,-5.790397679766118,0.30951025083658795,NLE1
54476,6.20530374706405,8.57283035376114,37.34648875776707,0,-5.26102257656157,0.4098862926549024,RNF216
54477,19.3183607309269,22.1506850029527,116.26714360234257,41.651412750155096,-1.4591334155807563,0.1882708705299353,PLEKHA5
54478,10.5721985163783,16.6077141486401,63.62855214357784,0,-6.014099766548432,0.6055446517461951,PIMREG
54480,5.20762182625949,8.34077867514811,31.341961315128348,0,-5.01533526577718,0.5895021523454864,CHPF2
54482,7.251483255638,4.23203470173433,43.642897901968794,0,-5.4803587746777325,-0.6572813664961012,TRMT13
54487,12.1647053404722,15.0756435220462,73.21302062843318,0,-6.213600423890894,0.2882012604836782,DGCR8
54491,1.5399971593277,2.26287361001737,9.268440183131542,36.170963704082055,1.8559590451820638,0.36131622105929095,OTULINL
54494,2.9055556449928,3.482935731952,17.487024915118987,0,-4.208441167896162,0.19891600106089338,C11orf71
54495,9.65020445971745,7.85487345810738,58.07955050314983,305.8090567708756,2.3766103159799847,-0.2663375319944437,TMX3
54496,9.10156467352985,9.11847881105873,54.777573606915965,0,-5.801613271609136,0.0024136395200223234,PRMT7
54497,5.10823652129272,6.2711514300082,30.743812968823004,14.249167519789902,-1.0577449452171372,0.2514279147440934,HEATR5B
54498,5.08599428659159,1.25569372793708,30.609948551854472,0,-4.982306782010672,-1.4319217837213667,SMOX
54499,12.7455136586875,13.1485530580523,76.70860315119175,206.06488413234626,1.4139366755590588,0.041693699095898915,TMCO1
545,9.16417578637152,7.08677197672033,55.154397259256754,13.153077710575294,-1.9882831857433134,-0.32985739433019806,ATR
54502,17.9319302763636,16.6223489690872,107.92294136900753,86.59109492795402,-0.3144517379703841,-0.10341527300135056,RBM47
54503,2.98393854479663,8.01956430309344,17.958770732188768,14.249167519789902,-0.31413493891987276,1.1788623517458647,ZDHHC13
54504,12.3840126927106,9.25931202802385,74.53291726826201,226.8905905074238,1.5931639441240895,-0.3835767291490472,CPVL
54505,11.5907148523642,14.9687424393501,69.75847107131715,20.825706375077548,-1.6968745285099434,0.34289050692599643,DHX29
5451,13.3543171220888,8.81927127484747,80.37267386044007,21.921796184292155,-1.8278242974837233,-0.5477968330625711,POU2F1
54510,14.0438191188019,15.5246908141393,84.52242697782572,229.08277012585305,1.427778250669803,0.13545241320968626,PCDH18
54512,13.5747464430886,9.74000127212244,81.69932304542094,0,-6.369803614815819,-0.4404766208673201,EXOSC4
54516,5.12112518970157,4.19316357012446,30.821383145796442,0,-4.991924639991066,-0.23718320755189098,MTRF1L
54517,24.9616946589405,21.2146846204025,150.2314289443136,0,-7.240614181650138,-0.22487089914767042,PUS7
5452,0.618191785925277,1.03776108935915,3.720574128885427,0,-2.2389623346981744,0.33260231316493977,POU2F2
